TAXA	08AM	08PM	09AM	09PM	10AM	10PM	11AM	11PM	12AM	12PM	13AM	13PM	14AM	15AM	15PM	16AM	17AM	17PM	18AM	18PM	19AM	19PM	20AM	20PM	21AM	21PM	22AM	22PM	23AM	23PM	25AM	26AM	26PM	27AM	27PM	28AM	29AM	29PM	30AM	30PM	31AM
OTHER	0	0	0	0	0.002427184	0	0	0.00591716	0	0	0.00862069	0.005181347	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004464286	0	0	0	0	0	0
CYTOPHAGALES	0	0	0	0	0	0	0	0	0.002557545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003571429	0	0	0	0	0	0	0	0	0	0	0	0.005405405
FLAVOBACTERALES	0.085526316	0.073643411	0.093150685	0.034129693	0.063106796	0.092050209	0.068601583	0.056213018	0.040920716	0.073170732	0.017241379	0.062176166	0.017182131	0.048128342	0.073170732	0.035	0.037453184	0.06741573	0.032432432	0.083333333	0.008583691	0.038834951	0.019379845	0.040935673	0.021276596	0.05	0.024691358	0.052083333	0.003571429	0.004273504	0.015625	0.024096386	0.022624434	0.012658228	0.013392857	0.006802721	0.012765957	0.014705882	0.021857923	0.008368201	0.016216216
BALNEOLALES	0	0	0.005479452	0	0	0.0013947	0.002638522	0	0	0	0	0	0	0	0	0	0	0	0	0.012820513	0	0.003236246	0	0	0	0.008333333	0	0.003472222	0	0.008547009	0.005208333	0	0.004524887	0	0.004464286	0	0.004255319	0	0	0.0041841	0
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
OTHER 	0	0	0.002739726	0	0	0	0	0.00295858	0	0	0	0.015544041	0.003436426	0.00802139	0	0.015	0.003745318	0.005617978	0.016216216	0	0.012875536	0	0.007751938	0.005847953	0.010638298	0	0.00617284	0	0	0	0.005208333	0	0.004524887	0.03164557	0.008928571	0.013605442	0.004255319	0.003676471	0.010928962	0.0041841	0.010810811
PROCHLOROCOCCUS	0	0	0	0	0.004854369	0	0	0	0.002557545	0	0	0.010362694	0.003436426	0	0	0	0.014981273	0.005617978	0.005405405	0	0	0.022653722	0.027131783	0.011695906	0.031914894	0.008333333	0.024691358	0.017361111	0.021428571	0.038461538	0.010416667	0.060240964	0.049773756	0.018987342	0.044642857	0.040816327	0.017021277	0.044117647	0.032786885	0.050209205	0.016216216
SYNECHOCOCCUS	0	0.07751938	0.008219178	0.027303754	0.016990291	0.0027894	0.015831135	0.044378698	0.074168798	0.154471545	0.232758621	0.321243523	0.484536082	0.227272727	0.227642276	0.385	0.194756554	0.185393258	0.194594595	0.134615385	0.240343348	0.297734628	0.38372093	0.251461988	0.393617021	0.291666667	0.24691358	0.170138889	0.267857143	0.264957265	0.25	0.289156627	0.253393665	0.14556962	0.165178571	0.163265306	0.09787234	0.121323529	0.147540984	0.10460251	0.113513514
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
MARINISOMATALES	0	0	0.005479452	0	0	0.0013947	0.002638522	0	0	0	0	0.005181347	0	0.005347594	0	0.005	0	0	0	0	0	0	0.003875969	0.005847953	0	0.008333333	0	0	0.003571429	0.004273504	0	0	0	0	0	0	0	0.003676471	0.016393443	0.0041841	0
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
OTHER	0	0	0	0	0	0	0	0	0	0	0.00862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTHER	0	0.007751938	0.002739726	0	0	0	0	0	0.002557545	0	0	0.010362694	0.006872852	0	0	0	0	0	0.005405405	0	0	0.006472492	0.003875969	0.005847953	0.031914894	0	0	0.003472222	0.003571429	0.008547009	0.010416667	0.012048193	0.009049774	0.006329114	0.017857143	0	0.004255319	0.007352941	0	0.0041841	0.005405405
CAULOBACTERALES	0	0	0.008219178	0.010238908	0.002427184	0.011157601	0.002638522	0.00887574	0	0	0	0	0.006872852	0	0	0	0	0.005617978	0	0	0	0.003236246	0	0	0	0	0.00617284	0	0	0	0	0.012048193	0	0	0	0	0	0	0	0	0
NISAEALES	0	0	0	0	0	0	0	0	0.00511509	0	0	0	0.006872852	0.002673797	0	0	0	0	0	0	0.008583691	0.009708738	0.003875969	0	0	0	0.00617284	0	0	0	0	0	0	0	0	0.006802721	0.008510638	0	0	0	0
PARVIBACULALES	0.046052632	0.042635659	0.030136986	0.030716724	0.007281553	0.019525802	0.01055409	0.01183432	0.023017903	0.024390244	0	0.005181347	0.006872852	0.010695187	0.016260163	0.005	0	0.011235955	0.005405405	0.012820513	0.008583691	0.009708738	0.011627907	0.005847953	0.010638298	0.008333333	0	0.020833333	0.014285714	0.004273504	0.005208333	0	0	0.006329114	0	0	0.021276596	0.007352941	0.016393443	0	0.005405405
PELAGIBACTERALES	0.013157895	0.108527132	0.095890411	0.109215017	0.167475728	0.033472803	0.105540897	0.115384615	0.163682864	0.06504065	0.094827586	0.10880829	0.075601375	0.211229947	0.195121951	0.215	0.205992509	0.140449438	0.259459459	0.211538462	0.197424893	0.113268608	0.151162791	0.111111111	0.117021277	0.141666667	0.209876543	0.138888889	0.192857143	0.115384615	0.255208333	0.168674699	0.176470588	0.234177215	0.236607143	0.217687075	0.114893617	0.099264706	0.163934426	0.225941423	0.248648649
PUNICCEISPIRILLALES	0.026315789	0.054263566	0.043835616	0.061433447	0.026699029	0.043235704	0.036939314	0.020710059	0.035805627	0.032520325	0.034482759	0.015544041	0.013745704	0.034759358	0.024390244	0.015	0.029962547	0.028089888	0.010810811	0.025641026	0.017167382	0.012944984	0.027131783	0.011695906	0.042553191	0.033333333	0.018518519	0.045138889	0.014285714	0.02991453	0.015625	0.072289157	0.027149321	0.037974684	0.044642857	0.020408163	0.038297872	0.022058824	0.032786885	0.037656904	0.048648649
RHIZOBIALES	0	0	0.002739726	0	0.002427184	0.0013947	0.005277045	0	0.007672634	0.008130081	0.00862069	0.010362694	0.017182131	0.00802139	0.008130081	0	0.011235955	0.016853933	0.010810811	0.012820513	0	0.009708738	0.007751938	0.011695906	0	0.008333333	0.00617284	0.006944444	0.010714286	0	0	0.012048193	0	0.012658228	0.008928571	0	0	0.011029412	0.005464481	0.0041841	0.010810811
RHODOBACTERALES	0.421052632	0.259689922	0.293150685	0.255972696	0.22815534	0.227336123	0.237467018	0.198224852	0.179028133	0.227642276	0.232758621	0.129533679	0.075601375	0.085561497	0.040650407	0.095	0.074906367	0.084269663	0.064864865	0.044871795	0.098712446	0.071197411	0.054263566	0.128654971	0.063829787	0.091666667	0.104938272	0.076388889	0.067857143	0.072649573	0.057291667	0.072289157	0.085972851	0.069620253	0.049107143	0.040816327	0.068085106	0.080882353	0.071038251	0.125523013	0.07027027
SPHINGOMONADALES	0	0	0	0	0.004854369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMED109	0	0	0	0	0.002427184	0	0	0.00295858	0.00511509	0	0	0	0.003436426	0	0	0.005	0.003745318	0	0.005405405	0.006410256	0.008583691	0	0.007751938	0	0	0	0.00617284	0.006944444	0.003571429	0.004273504	0	0	0	0.012658228	0.004464286	0	0.004255319	0.003676471	0.016393443	0	0
TMED127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003745318	0	0	0	0.004291845	0	0	0	0	0	0	0.003472222	0	0	0	0	0	0	0	0	0	0	0	0	0
TMED26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004464286	0	0	0	0.005464481	0	0
UBA8366	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005347594	0	0	0	0	0	0	0	0	0	0	0	0.008333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
OTHER	0	0	0	0.003412969	0	0.0013947	0	0	0	0	0	0	0	0.00802139	0	0.005	0.014981273	0.011235955	0.016216216	0	0.017167382	0.006472492	0.011627907	0.005847953	0.010638298	0.008333333	0	0.013888889	0.007142857	0.017094017	0	0	0.009049774	0.006329114	0	0.020408163	0.008510638	0.003676471	0.010928962	0.008368201	0
BETAPROTEOBACTERALES	0	0	0	0	0	0.0027894	0	0.00591716	0.007672634	0	0.017241379	0	0.003436426	0.002673797	0	0	0.007490637	0.005617978	0	0	0.004291845	0.006472492	0.003875969	0.005847953	0.010638298	0.008333333	0.00617284	0.010416667	0.007142857	0	0	0	0.009049774	0.012658228	0.004464286	0.006802721	0	0	0.010928962	0	0.010810811
ENTEROBACTERALES	0	0	0	0	0	0	0	0	0	0	0.00862069	0	0	0	0	0	0	0	0	0	0	0.003236246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_00270	0	0	0.005479452	0.003412969	0.002427184	0	0	0	0.00511509	0	0	0.005181347	0.006872852	0.013368984	0.016260163	0.005	0.007490637	0.005617978	0	0.019230769	0.008583691	0.019417476	0.023255814	0.005847953	0	0	0.012345679	0	0.014285714	0.004273504	0	0	0.004524887	0	0.013392857	0.006802721	0.004255319	0.011029412	0	0.0041841	0
PSEUDOMONADALES	0.164473684	0.186046512	0.147945205	0.235494881	0.182038835	0.39888424	0.234828496	0.295857988	0.184143223	0.195121951	0.094827586	0.056994819	0.068728522	0.101604278	0.089430894	0.07	0.074906367	0.106741573	0.091891892	0.128205128	0.077253219	0.090614887	0.058139535	0.116959064	0.095744681	0.075	0.067901235	0.072916667	0.067857143	0.098290598	0.057291667	0.036144578	0.113122172	0.088607595	0.111607143	0.081632653	0.059574468	0.0625	0.06557377	0.020920502	0.037837838
SAR86	0.039473684	0.034883721	0.054794521	0.044368601	0.174757282	0.058577406	0.137203166	0.139053254	0.099744246	0.105691057	0.086206897	0.041450777	0.034364261	0.058823529	0.032520325	0.045	0.04494382	0.073033708	0.064864865	0.076923077	0.064377682	0.055016181	0.046511628	0.064327485	0.053191489	0.016666667	0.030864198	0.072916667	0.05	0.034188034	0.072916667	0.144578313	0.045248869	0.03164557	0.084821429	0.06122449	0.046808511	0.044117647	0.032786885	0.079497908	0.086486486
WOSEAIALES	0	0.003875969	0	0.003412969	0	0	0	0	0	0	0.017241379	0	0	0	0	0	0.007490637	0	0	0	0	0.003236246	0	0	0	0	0	0	0	0	0	0	0	0	0.004464286	0	0	0.003676471	0	0.0041841	0.005405405
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
SAR324	0	0	0	0	0	0	0	0	0.002557545	0	0	0	0.003436426	0.002673797	0.016260163	0	0.003745318	0	0.005405405	0	0.004291845	0	0.007751938	0	0	0	0	0	0.003571429	0	0	0	0.004524887	0.006329114	0	0	0	0.003676471	0.005464481	0.008368201	0
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
OTHER-VERRUCO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004464286	0	0	0	0	0	0
OPITUTALES	0	0	0.002739726	0	0.007281553	0.0013947	0.007915567	0.00295858	0.010230179	0.008130081	0.00862069	0	0.003436426	0	0	0	0.003745318	0	0.010810811	0.006410256	0.012875536	0	0.003875969	0.011695906	0.010638298	0	0.012345679	0.006944444	0.007142857	0.004273504	0.005208333	0	0.013574661	0	0.004464286	0.006802721	0.008510638	0.003676471	0	0.0041841	0.010810811
PSEUDOPHAERALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006329114	0	0	0	0	0	0	0
VERRUCOMICROBIALES	0	0.003875969	0	0	0	0	0	0	0	0.016260163	0.00862069	0	0	0.002673797	0	0	0	0	0	0	0	0.006472492	0.003875969	0.005847953	0	0.016666667	0.00617284	0.003472222	0	0	0	0.012048193	0.004524887	0	0	0	0	0.003676471	0	0	0
